Content;Author;Date;Language;Location;Number of Likes;Number of Retweets;In Reply To;Author Name;Author Description;Author Tweets Count;Author Following Count;Author Followers Count;Author Listed Count;Author Verified;Longitude;Latitude
09.37 #Polri Satlantas Jaktim melakukan pengaturan lalu lintas terkait adanya Pengerjaan penambalan Jalan di Jl. Raya Bekasi (samping Pos Lantas Cakung), Bagi Pengguna Jalan diimbau agar berhati-hati. https://t.co/jRZ3PHeemr;@TMCPoldaMetro;2022-06-01 02:38:09;in;;9;3;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
12.11 Polri Sat Lantas Jaktim kegiatan Pembentukan Pocil ( Polisi Cilik ) di SD Islam Pulo Gadung Jaktim. https://t.co/pUvl54jjQA;@TMCPoldaMetro;2022-05-31 05:12:08;in;;5;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
07.38 Situasi arus lalu lintas di Traffic Light Halim Baru Jaktim menuju arah Pancoran terpantau padat. https://t.co/59315vxc9f;@TMCPoldaMetro;2022-05-31 00:38:28;in;;6;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
06.54 Situasi arus lalu lintas di Traffic Light Matraman Jaktim menuju arah Jatinegara terpantau ramai lancar. https://t.co/XEEyQ3f463;@TMCPoldaMetro;2022-05-30 23:54:00;in;;15;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
06.21 Situasi arus lalu lintas di Traffic Light Rindam Jl. TB Simatupang Jaktim menuju arah Pasar Rebo terpantau ramai lancar. https://t.co/zKngQf2YlN;@TMCPoldaMetro;2022-05-30 23:21:14;in;;5;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
06.13 Sebuah Kendaraan Truk Box mengalami Gangguan di Jl. MT Haryono Cawang Jaktim (Depan RS Otak) menuju arah Pancoran, saat ini sedang dalam penanganan, Situasi arus lalu lintas mengalami tersendat. https://t.co/uBjP7Toa66;@TMCPoldaMetro;2022-05-30 23:13:27;in;;8;2;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"LOKASI PELAYANAN #SIMKELILING Selasa, 31 Mei 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/kJYzIj5yrk";@TMCPoldaMetro;2022-05-30 23:00:02;in;;13;7;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
08.58 Polri Sat Lantas Jaktim melaksanakan pengaturan arus lalu lintas di Kolong Cacing dari Bekasi mengarah Jakarta terpantau ramai lancar. https://t.co/hyodYfJhRz;@TMCPoldaMetro;2022-05-30 03:11:54;in;;4;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
08.50 Polri Sat Lantas Jaktim melakukan kegiatan Pembentukan Pocil/Polisi Cilik di SD Islam Pulo Gadung Jakarta Timur. https://t.co/NTH0QWnrbO;@TMCPoldaMetro;2022-05-30 02:48:32;in;;7;2;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
06.31 Polri Sat Lantas Jaktim membantu Kendaraan Mobil B 1074 UVB mengalami gangguan mesin didpn BNN Cawang Jaktim arah Semanggi lalu lintas tersendat https://t.co/OHLEX9EAAF;@TMCPoldaMetro;2022-05-29 23:33:10;in;;9;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"05.54 LOKASI PELAYANAN #SIMKELILING Senin, 30 Mei 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/dPRwUsiBE5";@TMCPoldaMetro;2022-05-29 22:55:21;in;;14;8;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
09.15 Situasi arus lalu lintas di Traffic Light Kolong Cakung Jaktim terpantau ramai lancar. https://t.co/jzFA0F0q3W;@TMCPoldaMetro;2022-05-29 02:15:33;in;;2;0;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
09.13 Situasi arus lalu lintas di Traffic Light Utan Kayu Jaktim menuju arah Matraman terpantau lancar. https://t.co/rqGxP2iQ5O;@TMCPoldaMetro;2022-05-29 02:14:03;in;;4;0;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"LOKASI PELAYANAN #SIMKELILING MINGGU, 29 Mei 2022 Pukul 07.00 s/d 12.00 WIB :
Jaktim : Jl Raden Inten samping Mcd Duren Sawit Jaktim.
Jakbar : Jl Panjang depan Bank BJB Kebon Jeruk Jakbar. https://t.co/coNB3WXMGR";@TMCPoldaMetro;2022-05-28 22:59:28;in;;16;3;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"LOKASI PELAYANAN #SIMKELILING Sabtu, 28 Mei 2022 Pukul 08.00 s/d 12.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/TfIz8ZePRC";@TMCPoldaMetro;2022-05-27 22:33:30;in;;12;3;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
09.12 Unit Dikyasa Sat Lantas Jakarta  Timur dalam rangka pembentukan Pocil ( Polisi Cilik ) melakukan pelatihan baris berbaris kepada siswa/i di SD Islam Pulo Gadung Jaktim. https://t.co/BzjRPK4XNT;@TMCPoldaMetro;2022-05-27 02:12:27;in;;9;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
08.56 Polri Sat Lantas Jakarta Timur dalam rangka Jum'at Barokah membagikan sembako kepada pedagang di sekitar Pos Tetap Garuda Unit Lantas Makasar Jaktim. https://t.co/S1DagNNZDb;@TMCPoldaMetro;2022-05-27 01:56:54;in;;7;0;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"06.34 LOKASI PELAYANAN #SIMKELILING Jumat, 27 Mei 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/8NTW8jW80o";@TMCPoldaMetro;2022-05-26 23:35:20;in;;5;2;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
20.27 Situasi arus lalu lintas Traffic Light Taman Mini Square Jakarta Timur terpantau ramai lancar https://t.co/dwThjPQdAf;@TMCPoldaMetro;2022-05-26 13:26:38;in;;7;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
